name,game,GL,ST,AS,CK,FC,OS,경고,퇴장,실점,자책
페드로,29,17,77,0,0,56,14,3,0,0,0
마라냥,31,7,42,7,0,33,14,4,0,0,0
서동현,24,5,27,6,0,32,14,5,0,0,0
송진형,33,3,46,4,48,15,1,3,0,0,0
이진호2,17,3,15,3,1,23,0,2,1,0,0
배기종,8,2,12,1,0,15,3,2,0,0,0
배일환,31,2,32,6,0,46,5,2,0,0,0
이용2,27,2,9,0,0,31,1,4,0,0,1
강수일,27,1,33,3,0,21,13,4,0,0,0
김봉래,23,1,5,0,0,23,0,3,0,0,0
안종훈,15,1,7,0,2,17,3,0,0,0,0
양준아,2,1,4,0,7,7,1,2,0,0,0
오반석,30,1,14,0,0,48,1,8,0,0,0
윤빛가람,31,1,43,2,93,30,0,5,0,0,0
허재원,23,1,8,0,0,24,0,2,0,0,0
홍정호,11,1,6,0,0,8,0,3,1,0,0
권순형,14,0,5,0,0,10,0,2,0,0,0
마다스치,9,0,2,1,0,9,0,1,0,0,0
박기동,6,0,0,0,0,4,0,0,0,0,0
박승일,3,0,0,1,0,1,0,0,0,0,0
박준혁,31,0,0,0,0,1,0,4,0,38,0
아지송,3,0,1,0,0,4,0,0,0,0,0
오승범,31,0,9,1,0,24,0,2,0,0,0
오주현,18,0,4,0,0,32,0,4,0,0,0
이성현,3,0,0,0,0,4,0,0,0,0,0
이현진,7,0,1,0,0,9,2,2,0,0,0
장원석,10,0,0,0,5,10,0,1,0,0,0
전태현,7,0,0,0,0,0,0,1,0,8,0
조준현,0,0,0,0,0,0,0,0,0,0,0
좌준협,2,0,2,0,0,6,0,1,0,0,0
진대성,0,0,0,0,0,0,0,0,0,0,0
최원권,2,0,1,0,0,3,0,1,0,0,0
한동진,0,0,0,0,0,0,0,0,0,0,0
호드리고3,3,0,2,0,0,2,0,1,0,0,0
황도연,18,0,4,0,0,25,0,0,0,0,1
황인호,2,0,0,0,0,1,0,0,0,0,0
